Title,Website,Normalized_Website,City,State,Location,Lat,Lng
Our Table,http://ourtable.us (Work),http://ourtable.us,Sherwood,OR,"Sherwood, OR",45.3562638,-122.8402122
Pa'lante Forward Green Cleaning,http://palantecleaning.coop (Work),http://palantecleaning.coop,New York,NY,"New York, NY",40.7127753,-74.0059728
Pacific Electric Worker-Owned,http://pacificelectric.coop (Work),http://pacificelectric.coop,Los Angles,CA,"Los Angles, CA",34.0522342,-118.2436849
Palante Technology Cooperative,http://palantetech.coop (Work),http://palantetech.coop,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Patty Pan Cooperative,http://pattypangrill.com (Work),http://pattypangrill.com,Shoreline,WA,"Shoreline, WA",47.7559659,-122.3456972
Pattycake Bakery,http://www.pattycakebakery.com/ (Work),http://www.pattycakebakery.com/,Columbus,OH,"Columbus, OH",39.9611755,-82.9987942
Peachy Green Clean Cooperative,www.peachygreencleancoop.com (Work),www.peachygreencleancoop.com,Athens,GA,"Athens, GA",33.9519347,-83.357567
Pedal Express Courier Service,http://www.pedalexpress.com (Work),http://www.pedalexpress.com,Berkeley,CA,"Berkeley, CA",37.8715926,-122.272747
Pedal People Cooperative,https://www.pedalpeople.coop (Work),https://www.pedalpeople.coop,Northampton,MA,"Northampton, MA",42.3250896,-72.6412013
PedX Courier & Cargo,http://pedexsc.com (Work),http://pedexsc.com,Santa Cruz,CA,"Santa Cruz, CA",36.9741171,-122.0307963
Pelham Industrial Group,http://www.pelhamauto.com (Work),http://www.pelhamauto.com,Belchertown,MA,"Belchertown, MA",42.2770346,-72.4008884
Peoples Food Co-op,http://www.peoples.coop (Work),http://www.peoples.coop,Portland,OR,"Portland, OR",45.5122308,-122.6587185
Pin Up Posters Courier Collective,,,Pittsburgh,PA,"Pittsburgh, PA",40.4406248,-79.9958864
Plausible Labs,http://plausible.coop (Work),http://plausible.coop,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
POLIDO Skateboards,https://www.facebook.com/POLIDO.Skateboards/ (Work),https://www.facebook.com/POLIDO.Skateboards/,Bronx,NY,"Bronx, NY",40.8447819,-73.8648268
Polycot Associates,http://polycotassociates.com (Work),http://polycotassociates.com,Austin,TX,"Austin, TX",30.267153,-97.7430608
Port Townsend Shipwrights Co-op,http://ptshipwrights.com (Work),http://ptshipwrights.com,Port Townsend,WA,"Port Townsend, WA",48.1170387,-122.7604471
Position Development,http://positiondev.com (Work),http://positiondev.com,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Positively 3rd Street Bakery,http://positively3rdstreetbakery.com (Work),http://positively3rdstreetbakery.com,Duluth,MN,"Duluth, MN",46.7866719,-92.1004852
Pro Arte Chamber Orchestra of Boston,http://proarte.org (Work),http://proarte.org,Cambridge,MA,"Cambridge, MA",42.3736158,-71.1097335
Profane Existence,http://www.profaneexistence.com/ (Work),http://www.profaneexistence.com/,Huntington,WV,"Huntington, WV",38.4192496,-82.445154
PT360,http://pt360coop.com (Work),http://pt360coop.com,Williston,VT,"Williston, VT",44.4454432,-73.099194
PV Squared,http://www.pvsquared.coop (Work),http://www.pvsquared.coop,Greenfield,MA,"Greenfield, MA",42.587915,-72.5994104
Quilted,http://quilted.coop (Work),http://quilted.coop,Berkeley,CA,"Berkeley, CA",37.8715926,-122.272747
Rad Dish Café,,,Philadelphia,PA,"Philadelphia, PA",39.9525839,-75.1652215
Radical Designs,http://radicaldesigns.org (Work),http://radicaldesigns.org,Oakland,CA,"Oakland, CA",37.8043637,-122.2711137
Radix Media,http://radixmedia.org (Work),http://radixmedia.org,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Rainbow Grocery Cooperative,http://www.rainbow.coop (Work),http://www.rainbow.coop,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
Real Pickles Cooperative,http://realpickles.com (Work),http://realpickles.com,Greenfield,MA,"Greenfield, MA",42.587915,-72.5994104
Red Emma's Bookstore Coffeehouse,http://redemmas.org (Work),http://redemmas.org,Baltimore,MD,"Baltimore, MD",39.2903848,-76.6121893
Red House,http://www.redhousebuilding.com (Work),http://www.redhousebuilding.com,Burlington,VT,"Burlington, VT",44.4758825,-73.212072
Red Sun Press,http://redsunpress.com (Work),http://redsunpress.com,Boston,MA,"Boston, MA",42.3600825,-71.0588801
Research Action Design,http://rad.cat/ (Work),http://rad.cat/,Joshua Tree,CA,"Joshua Tree, CA",34.134728,-116.3130661
Restif Cleaning Services Cooperative,http://restif.com (Work),http://restif.com,Arcata,CA,"Arcata, CA",40.8665166,-124.0828396
Restoring Roots Landscaping Co-op,http://restoringroots.net/ (Work),http://restoringroots.net/,Boston,MA,"Boston, MA",42.3600825,-71.0588801
Rhizome Urban Gardens,http://www.rhizomecollective.org (Work),http://www.rhizomecollective.org,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
River West Public House,http://riverwestpublichouse.wordpress.com (Work),http://riverwestpublichouse.wordpress.com,Milwaukee,WI,"Milwaukee, WI",43.0389025,-87.9064736
Riverwest Co-Op Grocery & Café,http://riverwestcoop.org/ (Work),http://riverwestcoop.org/,Milwaukee,WI,"Milwaukee, WI",43.0389025,-87.9064736
Roca Mia Construction,http://rocamiaconstruction.wix.com/rocamia (Work),http://rocamiaconstruction.wix.com/rocamia,Far Rockaway,NY,"Far Rockaway, NY",40.5998931,-73.7448437
Round Sky Solutions,http://www.roundskysolutions.com (Work),http://www.roundskysolutions.com,Montpelier,VT,"Montpelier, VT",44.2600593,-72.5753869
Roundabout Music Company,,,Whitesburg,KY,"Whitesburg, KY",37.1184318,-82.8268265
Rust Belt Riders Composting,http://www.rustbeltriderscomposting.com (Work),http://www.rustbeltriderscomposting.com,Cleveland,AL,"Cleveland, AL",33.9909316,-86.5774905
Salsedo Press,http://salsedopressinc.com/ (Work),http://salsedopressinc.com/,Chicago,IL,"Chicago, IL",41.8781136,-87.6297982
Samamkaya Yoga Back Care & Scoliosis Collective,http://www.samamkayabackcare.com/ (Work),http://www.samamkayabackcare.com/,New York,NY,"New York, NY",40.7127753,-74.0059728
San Francisco Mime Troupe,http://www.sfmt.org/index.php (Work),http://www.sfmt.org/index.php,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
Sandhills Farm To Table Cooperative,https://sandhills.deliverybizpro.com (Work),https://sandhills.deliverybizpro.com,Southern Pines,NC,"Southern Pines, NC",35.1740471,-79.3922539
Sassafras Tech Collective,http://sassafras.coop (Work),http://sassafras.coop,Ann Arbor,MI,"Ann Arbor, MI",42.2808256,-83.7430378
Select Machine,http://selectmachineryinc.com (Work),http://selectmachineryinc.com,Kent,OH,"Kent, OH",41.1536674,-81.3578859
Seward Café,http://sewardcafe.com (Work),http://sewardcafe.com,Minneapolis,MN,"Minneapolis, MN",44.977753,-93.2650108
Seward Child Care Center,http://www.sewardchildcare.org (Work),http://www.sewardchildcare.org,Minnneapolis,MN,"Minnneapolis, MN",44.977753,-93.2650108
SF Green Cab,http://greencabsf.com (Work),http://greencabsf.com,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
Shot in the Dark Cafe,http://facebook.com/Shot-in-the-Dark-Cafe-114706246877/ (Work),http://facebook.com/Shot-in-the-Dark-Cafe-114706246877/,Tucson,AZ,"Tucson, AZ",32.2226066,-110.9747108
Si Se Puede We Can Do It Women's Cooperative,http://www.wecandoit.coop (Work),http://www.wecandoit.coop,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Skedaddle Pest Management,,,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Small World Food,http://smallworldfood.com (Work),http://smallworldfood.com,Rochester,NY,"Rochester, NY",43.1565779,-77.6088465
Sol Chariots Pedicab Cooperative,http://solchariotspedicab.com (Work),http://solchariotspedicab.com,Providence,RI,"Providence, RI",41.8239891,-71.4128343
Solidarity Research Center,http://solidarityresearch.org/ (Work),http://solidarityresearch.org/,Los Angeles,CA,"Los Angeles, CA",34.0522342,-118.2436849
South Mountain Company,http://southmountain.com (Work),http://southmountain.com,West Tisbury,MA,"West Tisbury, MA",41.3812245,-70.6744723
Southern Alternative,https://www.facebook.com/federationsoutherncooperatives/posts/516133618406447 (Work),https://www.facebook.com/federationsoutherncooperatives/posts/516133618406447,Leslie,GA,"Leslie, GA",31.9554475,-84.0865706
Southwest Boulevard Family Health Care,http://www.swbfhc.org/ (Work),http://www.swbfhc.org/,Kansas City,KS,"Kansas City, KS",39.1155314,-94.6267873
Steven's Square Center for the Arts,http://stevensarts.org (Work),http://stevensarts.org,Minneapolis,MN,"Minneapolis, MN",44.977753,-93.2650108
Stumptown Printers,http://stumptownprinters.com (Work),http://stumptownprinters.com,Portland,OR,"Portland, OR",45.5122308,-122.6587185
Sudbury Valley School,http://sudval.org (Work),http://sudval.org,Framingham,MA,"Framingham, MA",42.279286,-71.4161565
Suigetsukan Martial Arts School,http://suigetsukan.org (Work),http://suigetsukan.org,Oakland,CA,"Oakland, CA",37.8043637,-122.2711137
Sunset Scholars Tutoring Cooperative,http://sunsetscholars.coop (Work),http://sunsetscholars.coop,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Sunshine Propane,http://sunshinepropane.com (Work),http://sunshinepropane.com,Port Hadlock,WA,"Port Hadlock, WA",48.0351216,-122.7760267
Surface Chemists of Florida,http://www.surfacechemists.com/ (Work),http://www.surfacechemists.com/,Jupiter,FL,"Jupiter, FL",26.9342246,-80.0942087
Sustainable Economies Law Center,http://www.theselc.org/ (Work),http://www.theselc.org/,oakland,CA,"oakland, CA",37.8043637,-122.2711137
Sustainergy Cooperative,http://www.sustainergy.coop (Work),http://www.sustainergy.coop,Cincinnati,OH,"Cincinnati, OH",39.1031182,-84.5120196
Syracuse Cultural Workers,http://syracuseculturalworkers.com (Work),http://syracuseculturalworkers.com,Syracuse,NY,"Syracuse, NY",43.0481221,-76.1474244
Tadpole Collective,http://tadpole.cc (Work),http://tadpole.cc,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Tamarack Media Cooperative,http://tamarackmedia.com/ (Work),http://tamarackmedia.com/,Burlington,VT,"Burlington, VT",44.4758825,-73.212072
Tangerine Clean,http://tangerineclean.coop (Work),http://tangerineclean.coop,Durham,NC,"Durham, NC",35.9940329,-78.898619
TeamWorks Cleaning,http://teamworks.coop/our-cooperatives/house-cleaning/ (Work),http://teamworks.coop/our-cooperatives/house-cleaning/,Sunnyvale,CA,"Sunnyvale, CA",37.36883,-122.0363496
Teamworks Sustainable Landscapes,http://teamworks.coopour-cooperatives/landscaping/ (Work),http://teamworks.coopour-cooperatives/landscaping/,​Sunnyvale,CA,"​Sunnyvale, CA",37.36883,-122.0363496
Tech Support Collective,http://site.techsupport.coop (Work),http://site.techsupport.coop,Portland,OR,"Portland, OR",45.5122308,-122.6587185
TechCollective,http://www.techcollective.com (Work),http://www.techcollective.com,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
Terra Firma Building & Remodeling,http://www.terrafirmamn.com/ (Work),http://www.terrafirmamn.com/,St. Paul,MN,"St. Paul, MN",44.9537029,-93.0899578
Terranova Catering,http://welcometocivilization.comterranova/terranova.html (Work),http://welcometocivilization.comterranova/terranova.html,Gainesville,FL,"Gainesville, FL",29.6516344,-82.3248262
The Cheese Board Collective,http://cheeseboardcollective.coop (Work),http://cheeseboardcollective.coop,Berkeley,CA,"Berkeley, CA",37.8715926,-122.272747
The Flaming Eggplant,https://www.facebook.com/theflamingeggplant/ (Work),https://www.facebook.com/theflamingeggplant/,Olympia,WA,"Olympia, WA",47.0378741,-122.9006951
The Hardtimes Café,http://facebook.com/hardtimescafe (Work),http://facebook.com/hardtimescafe,Minneapolis,MN,"Minneapolis, MN",44.977753,-93.2650108
The Hub Bike Co-op,http://thehubbikecoop.org (Work),http://thehubbikecoop.org,Minneapolis,MN,"Minneapolis, MN",44.977753,-93.2650108
The New School of Montpelier,http://www.nsmvt.org (Work),http://www.nsmvt.org,Montpelier,VT,"Montpelier, VT",44.2600593,-72.5753869
The Purple Carrot Co-op,http://www.purplecarrot.coop/ (Work),http://www.purplecarrot.coop/,Lawrence,KS,"Lawrence, KS",38.9716689,-95.2352501
The Seed,https://www.facebook.com/theseedlancaster (Work),https://www.facebook.com/theseedlancaster,Lancaster,PA,"Lancaster, PA",40.0466571,-76.1783739
The Stud,https://www.studsf.com/ (Work),https://www.studsf.com/,San Francisco,CA,"San Francisco, CA",37.7749295,-122.4194155
The Vital Compass,http://thevitalcompass.com (Work),http://thevitalcompass.com,Portland,OR,"Portland, OR",45.5122308,-122.6587185
Third Root Community Health Center,http://www.thirdroot.org (Work),http://www.thirdroot.org,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Thread Coffee,https://redemmas.org/thread (Work),https://redemmas.org/thread,Baltimore,MD,"Baltimore, MD",39.2903848,-76.6121893
Three Stone Hearth Community-Supported Kitchen,http://threestonehearth.com (Work),http://threestonehearth.com,Berkeley,CA,"Berkeley, CA",37.8715926,-122.272747
Tierra Wools,http://handweavers.com (Work),http://handweavers.com,Los Ojos,NM,"Los Ojos, NM",36.7290029,-106.570561
TimberHomes Vermont,http://www.timberhomesllc.com (Work),http://www.timberhomesllc.com,Vershire,VT,"Vershire, VT",43.9729649,-72.3395077
Time of Day Media,http://timeofdaymedia.com (Work),http://timeofdaymedia.com,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Toolbox for Education and Social Action,http://toolboxfored.org (Work),http://toolboxfored.org,Northampton,MA,"Northampton, MA",42.3250896,-72.6412013
Treasure City Thrift,http://treasurecitythrift.org (Work),http://treasurecitythrift.org,Austin,TX,"Austin, TX",30.267153,-97.7430608
Trusty Amigos,https://trustyamigos.coop/ (Work),https://trustyamigos.coop/,New York,NY,"New York, NY",40.7127753,-74.0059728
Ubuntu Coffee Cooperative,http://ubuntucoffeecoop.com (Work),http://ubuntucoffeecoop.com,Emeryville,CA,"Emeryville, CA",37.831316,-122.2852473
Ujamaa Freedom Market,http://ujamaafreedommarket.wordpress.com (Work),http://ujamaafreedommarket.wordpress.com,Asheville,NC,"Asheville, NC",35.5950581,-82.5514869
Union Cab of Madison,http://www.unioncab.com (Work),http://www.unioncab.com,Madison,WI,"Madison, WI",43.0730517,-89.4012302
Union Cab of Portland,http://www.unioncabpdx.com/ (Work),http://www.unioncabpdx.com/,Portland,OR,"Portland, OR",45.5122308,-122.6587185
Union Taxi Cooperative of Denver,http://www.uniontaxidenver.net/ (Work),http://www.uniontaxidenver.net/,Denver,CO,"Denver, CO",39.7392358,-104.990251
Union Technology Cooperative,http://uniontechcoop.com (Work),http://uniontechcoop.com,Middleton,WI,"Middleton, WI",43.0972174,-89.5042876
United Handyman,http://unitedhandymen.coop (Work),http://unitedhandymen.coop,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
Uptown Village Cooperative,http://www.uptownvillage.coop/ (Work),http://www.uptownvillage.coop/,Manhattan,NY,"Manhattan, NY",40.7830603,-73.9712488
Valley Green Feast,http://valleygreenfeast.coop (Work),http://valleygreenfeast.coop,Northampton,MA,"Northampton, MA",42.3250896,-72.6412013
Velocity Bicycle Cooperative,http://velocitycoop.org/ (Work),http://velocitycoop.org/,Alexandria,VA,"Alexandria, VA",38.8048355,-77.0469214
Vermont Computing Cooperative,http://vtcc.coop (Work),http://vtcc.coop,Randolph,VT,"Randolph, VT",43.9247446,-72.6656948
Vida Verde Women's Cooperative,http://vidaverdecoop.org (Work),http://vidaverdecoop.org,Brighton,MA,"Brighton, MA",42.3463503,-71.1626756
Villari's Martial Arts Cooperative,http://villarismadison.com (Work),http://villarismadison.com,Madison,WI,"Madison, WI",43.0730517,-89.4012302
Warrenstreet Architects,https://www.warrenstreet.coop (Work),https://www.warrenstreet.coop,Concord,NH,"Concord, NH",43.2081366,-71.5375718
Weaver Street Market,http://weaverstreetmarket.coop (Work),http://weaverstreetmarket.coop,Carrboro,NC,"Carrboro, NC",35.9101438,-79.0752895
Wellspring Upholstery Cooperative,http://wellspring.coop (Work),http://wellspring.coop,Springfield,MA,"Springfield, MA",42.1014831,-72.589811
Whispering Winds Bamboo Cooperative,http://www.whisperingwindsbamboo.com/coop.html (Work),http://www.whisperingwindsbamboo.com/coop.html,Hana,HI,"Hana, HI",20.757508,-155.988407
Whole Builders Cooperative,http://wholebuilders.com (Work),http://wholebuilders.com,Minneapolis,MN,"Minneapolis, MN",44.977753,-93.2650108
Win Win Coffee Bar,http://winwincoffeebar.com/ (Work),http://winwincoffeebar.com/,Philadelphia,PA,"Philadelphia, PA",39.9525839,-75.1652215
Wisconsin Natural Heritage Cooperative,,,Madison,WI,"Madison, WI",43.0730517,-89.4012302
Woodbelly Pizza,http://woodbellypizza.com (Work),http://woodbellypizza.com,Montpelier,VT,"Montpelier, VT",44.2600593,-72.5753869
Workers Transport,,,Brooklyn,NY,"Brooklyn, NY",40.6781784,-73.9441579
WORT FM,http://wort-fm.org (Work),http://wort-fm.org,Madison,WI,"Madison, WI",43.0730517,-89.4012302
worX Printing Cooperative,http://worxprinting.coop (Work),http://worxprinting.coop,Worcester,MA,"Worcester, MA",42.2625932,-71.8022934
XENSHA,http://xensha.coop (Work),http://xensha.coop,Alexandria,VA,"Alexandria, VA",38.8048355,-77.0469214
